(-30, 22), (7, -7), (-9, 11),
(-21, 12), (-15, 9), (-22, 21),
(-14, 7), (-27, 17), (-27, 19),
(-30, 23), (8, -8), (-11, 14),
(-19, 11), (-15, 11), (-24, 23),
(-15, 7), (-29, 17), (-28, 18),
(-26, 21), (10, -11), (-13, 16),
(-20, 12), (-14, 13), (-24, 22),
(-15, 8), (-26, 16), (-29, 20),
(-22, 16), (6, -7), (-14, 17),
(-20, 11), (-13, 12), (-24, 22),
(-16, 9), (-26, 16), (-28, 18),
(-21, 16), (1, -2), (-17, 19),
(-19, 11), (-14, 13), (-24, 22),
(-18, 10), (-26, 16), (-27, 18),
(-23, 16), (-2, 3), (-18, 21),
(-15, 8), (-19, 16), (-25, 20),
(-19, 9), (-22, 11), (-24, 14),
(-22, 14), (-3, 6), (-17, 20),
(-15, 8), (-17, 13), (-26, 20),
(-21, 12), (-20, 12), (-18, 11),
(-20, 13), (-3, 7), (-16, 19),
(-17, 9), (-18, 14), (-22, 18),
(-20, 11), (-19, 10), (-17, 10),
(-19, 13), (-7, 10), (-14, 19),
(-16, 8), (-20, 14), (-22, 17),
(-19, 10), (-18, 10), (-16, 9),
(-19, 12), (-7, 8), (-11, 18),
(-14, 9), (-20, 15), (-20, 16),
(-18, 9), (-19, 11), (-17, 10),
(-20, 13), (-8, 9), (-11, 18),
(-15, 8), (-20, 14), (-20, 15),
(-18, 9), (-20, 12), (-18, 11),
(-16, 11), (-7, 9), (-13, 19),
(-17, 10), (-18, 13), (-18, 14),
(-19, 9), (-17, 9), (-19, 11),
(-13, 11), (-6, 12), (-16, 20),
(-18, 11), (-15, 14), (-17, 15),
(-23, 12), (-17, 10), (-20, 12),
(-5, 5), (-10, 15), (-17, 19),
(-16, 12), (-14, 16), (-13, 15),
(-22, 12), (-16, 9), (-20, 12),
(-5, 5), (-14, 17), (-9, 12),
(-10, 10), (-14, 17), (-12, 18),
(-20, 13), (-18, 11), (-15, 11),
(-11, 12), (-14, 15), (-11, 13),
(-14, 14), (-12, 14), (-11, 16),
(-18, 10), (-20, 11), (-12, 9),
(-7, 7), (-13, 15), (-8, 11),
(-15, 14), (-15, 17), (-11, 16),
(-19, 12), (-21, 12), (-16, 11),
(-6, 5), (-21, 23), (-13, 19),
(-21, 19), (-23, 20), (-18, 19),
(-24, 15), (-26, 16), (-25, 16),
(7, -9), (-10, 9), (1, -2),
(-15, 11), (-20, 26), (-16, 25),
(-29, 19), (-30, 19), (-29, 19),
(4, -6), (-14, 14), (-1, 3),
(-24, 19), (-25, 25), (-21, 26),
(-27, 18), (-31, 19), (-34, 22),
(-9, 6), (-22, 21), (-13, 19),
(-30, 20), (-30, 22), (-30, 24),
(-21, 12), (-25, 15), (-29, 18),
(-29, 23), (-19, 18), (-20, 23),
(-27, 17), (-32, 21), (-35, 24),
(-19, 12), (-21, 12), (-21, 13),
(-30, 20), (-27, 20), (-24, 22),
(-24, 13), (-28, 16), (-35, 22),
(-18, 9), (-18, 8), (-18, 9),
(-27, 19), (-29, 20), (-28, 23),
(-23, 14), (-28, 17), (-36, 22),
(-18, 10), (-17, 8), (-18, 10),
(-27, 18), (-31, 21), (-32, 25),
(-22, 11), (-27, 16), (-35, 20),
(-21, 11), (-14, 6), (-18, 10),
(-21, 14), (-34, 23), (-36, 26),
(-20, 10), (-25, 14), (-35, 21),
(-20, 10), (-15, 7), (-17, 9),
(-20, 13), (-31, 21), (-31, 24),
(-20, 11), (-27, 16), (-37, 23),
(-21, 11), (-15, 7), (-18, 9),
(-17, 12), (-28, 21), (-29, 23),
(-20, 11), (-32, 19), (-38, 24),
(-23, 12), (-18, 10), (-24, 13),
(-15, 11), (-21, 18), (-18, 15),
(-19, 12), (-35, 22), (-37, 27),
(-19, 10), (-23, 14), (-32, 19),
(-15, 11), (-4, 2), (-3, 2),
(-19, 13), (-33, 23), (-32, 25),
(-20, 12), (-28, 18), (-38, 24),
(-16, 11), (4, -7), (-2, 1),
(-20, 15), (-30, 24), (-28, 25),
(-19, 11), (-30, 19), (-39, 25),
(-14, 8), (5, -8), (-1, 1),
(-19, 14), (-25, 21), (-21, 18),
(-19, 11), (-33, 21), (-39, 26),
(-10, 6), (3, -5), (-1, 1),
(-23, 16), (-29, 23), (-16, 14),
(-22, 13), (-30, 19), (-38, 26),
(-8, 7), (-10, 9), (-1, 1),
(-28, 20), (-29, 22), (-18, 14),
(-21, 13), (-29, 18), (-37, 24),
(-12, 9), (-16, 15), (3, -3),
(-29, 20), (-32, 22), (-31, 23),
(-20, 11), (-29, 17), (-35, 21),
(-22, 18), (-20, 17), (5, -5),
(-29, 17), (-37, 23), (-37, 26),
(-19, 11), (-28, 16), (-33, 20),
(-25, 20), (-16, 13), (10, -12),
(-32, 19), (-36, 24), (-32, 25),
(-21, 11), (-27, 15), (-30, 17),
(-28, 21), (-9, 7), (10, -13),
(-34, 19), (-37, 25), (-31, 23),
(-23, 13), (-29, 17), (-30, 19),
(-26, 20), (1, -3), (11, -15),
(-35, 21), (-33, 23), (-29, 23),
(-26, 14), (-29, 16), (-31, 20),
(-24, 18), (1, -2), (10, -14),
(-36, 21), (-35, 24), (-27, 20),
(-24, 12), (-25, 13), (-34, 20),
(-18, 15), (1, -1), (11, -14),
(-38, 23), (-34, 24), (-27, 20),
(-25, 13), (-29, 16), (-33, 19),
(-6, 6), (9, -10), (16, -19),
(-35, 22), (-25, 19), (-16, 12),
(-30, 16), (-37, 22), (-33, 21),
(-6, 6), (3, -3), (14, -17),
(-28, 21), (-19, 14), (-10, 8),
(-37, 21), (-35, 21), (-32, 21),
(-4, 4), (-2, 3), (14, -16),
(-27, 22), (-18, 14), (-9, 8),
(-37, 22), (-34, 22), (-33, 22),
(2, -1), (3, -1), (14, -17),
(-29, 20), (-22, 16), (-19, 15),
(-36, 20), (-32, 19), (-31, 19),
(1, 0), (0, 0), (5, -8),
(-32, 22), (-30, 22), (-28, 23),
(-28, 15), (-29, 17), (-23, 14),
(4, -6), (3, -4), (-1, -1),
(-32, 22), (-27, 20), (-28, 23),
(-31, 16), (-28, 16), (-22, 13),
(12, -14), (11, -12), (-1, 0),
(-28, 20), (-20, 14), (-25, 21),
(-32, 18), (-28, 16), (-20, 12),
(15, -19), (15, -19), (5, -7),
(-16, 9), (-10, 7), (-20, 19),
(-34, 20), (-29, 19), (-24, 16),
(15, -18), (16, -20), (7, -9),
(-3, -1), (5, -8), (-6, 6),
(-33, 22), (-30, 20), (-27, 20),
(15, -18), (14, -17), (2, -3),
(-1, -2), (12, -14), (0, -1),
(-29, 21), (-27, 19), (-26, 19),
(11, -14), (9, -12), (1, -2),
(-5, 3), (9, -11), (6, -8),
(-28, 21), (-26, 19), (-25, 21),
(14, -17), (13, -17), (5, -7),
(-16, 13), (-1, -1), (4, -6),
(-29, 20), (-28, 19), (-27, 20),
(13, -15), (15, -18), (11, -14),
(-24, 19), (-11, 10), (1, -3),
(-29, 21), (-29, 20), (-29, 22),
(0, -3), (7, -9), (15, -19),
(-26, 21), (-23, 18), (-11, 9),
(-33, 24), (-29, 20), (-28, 20),
(-20, 15), (-13, 10), (7, -11),
(-26, 23), (-28, 21), (-24, 19),
(-31, 19), (-28, 16), (-25, 16),
