Time,Agent,X,Y,Z,Status
1753561166.18,Agent_1,-1.27,-0.65,1.0,moving
1753561166.23,Agent_1,-1.22,-0.64,1.0,moving
1753561166.30,Agent_1,-1.17,-0.63,1.0,moving
1753561166.35,Agent_1,-1.12,-0.62,1.0,moving
1753561166.41,Agent_1,-1.07,-0.60,1.0,moving
1753561166.46,Agent_1,-1.02,-0.59,1.0,moving
1753561166.51,Agent_1,-0.97,-0.58,1.0,moving
1753561166.58,Agent_1,-0.92,-0.57,1.0,moving
1753561166.63,Agent_1,-0.87,-0.56,1.0,moving
1753561166.69,Agent_1,-0.83,-0.54,1.0,moving
1753561166.76,Agent_1,-0.78,-0.53,1.0,moving
1753561166.82,Agent_1,-0.73,-0.52,1.0,moving
1753561166.89,Agent_1,-0.68,-0.51,1.0,moving
1753561166.96,Agent_1,-0.63,-0.50,1.0,moving
1753561167.03,Agent_1,-0.58,-0.48,1.0,moving
1753561167.09,Agent_1,-0.53,-0.47,1.0,moving
1753561167.16,Agent_1,-0.48,-0.46,1.0,moving
1753561167.23,Agent_2,-1.27,-0.65,1.0,moving
1753561167.29,Agent_2,-1.22,-0.64,1.0,moving
1753561167.35,Agent_2,-1.17,-0.63,1.0,moving
1753561167.42,Agent_2,-1.12,-0.62,1.0,moving
1753561167.49,Agent_2,-1.07,-0.60,1.0,moving
1753561167.55,Agent_2,-1.02,-0.59,1.0,moving
1753561167.61,Agent_2,-0.97,-0.58,1.0,moving
1753561167.68,Agent_2,-0.92,-0.57,1.0,moving
1753561167.74,Agent_2,-0.87,-0.56,1.0,moving
1753561167.81,Agent_2,-0.83,-0.54,1.0,moving
1753561167.86,Agent_2,-0.78,-0.53,1.0,moving
1753561167.92,Agent_2,-0.73,-0.52,1.0,moving
1753561167.98,Agent_2,-0.68,-0.51,1.0,moving
1753561168.05,Agent_2,-0.63,-0.50,1.0,moving
1753561168.11,Agent_2,-0.58,-0.48,1.0,moving
1753561168.17,Agent_2,-0.53,-0.47,1.0,moving
1753561168.23,Agent_2,-0.48,-0.46,1.0,moving
1753561168.29,Agent_3,-1.27,-0.65,1.0,moving
1753561168.35,Agent_3,-1.22,-0.64,1.0,moving
1753561168.42,Agent_3,-1.17,-0.63,1.0,moving
1753561168.49,Agent_3,-1.12,-0.62,1.0,moving
1753561168.54,Agent_3,-1.07,-0.60,1.0,moving
1753561168.60,Agent_3,-1.02,-0.59,1.0,moving
1753561168.67,Agent_3,-0.97,-0.58,1.0,moving
1753561168.74,Agent_3,-0.92,-0.57,1.0,moving
1753561168.79,Agent_3,-0.87,-0.56,1.0,moving
1753561168.85,Agent_3,-0.83,-0.54,1.0,moving
1753561168.91,Agent_3,-0.78,-0.53,1.0,moving
1753561168.98,Agent_3,-0.73,-0.52,1.0,moving
1753561169.04,Agent_3,-0.68,-0.51,1.0,moving
1753561169.10,Agent_3,-0.63,-0.50,1.0,moving
1753561169.15,Agent_3,-0.58,-0.48,1.0,moving
1753561169.22,Agent_3,-0.53,-0.47,1.0,moving
1753561169.28,Agent_3,-0.48,-0.46,1.0,moving
1753561169.35,Agent_1,-0.96,-0.58,1.0,moving
1753561169.42,Agent_1,-0.91,-0.57,1.0,moving
1753561169.48,Agent_1,-0.86,-0.56,1.0,moving
1753561169.53,Agent_1,-0.81,-0.54,1.0,moving
1753561169.58,Agent_1,-0.76,-0.53,1.0,moving
1753561169.65,Agent_1,-0.71,-0.52,1.0,moving
1753561169.70,Agent_1,-0.66,-0.51,1.0,moving
1753561169.77,Agent_1,-0.61,-0.50,1.0,moving
1753561169.82,Agent_1,-0.56,-0.48,1.0,moving
1753561169.90,Agent_1,-0.52,-0.47,1.0,moving
1753561169.96,Agent_1,-0.47,-0.46,1.0,moving
1753561170.02,Agent_1,-0.42,-0.45,1.0,moving
1753561170.07,Agent_1,-0.37,-0.44,1.0,moving
1753561170.12,Agent_1,-0.32,-0.42,1.0,moving
1753561170.19,Agent_1,-0.27,-0.41,1.0,moving
1753561170.24,Agent_1,-0.22,-0.40,1.0,moving
1753561170.30,Agent_1,-0.17,-0.39,1.0,moving
1753561170.37,Agent_1,-0.12,-0.38,1.0,moving
1753561170.42,Agent_1,-0.07,-0.36,1.0,moving
1753561170.48,Agent_1,-0.02,-0.35,1.0,moving
1753561170.54,Agent_1,0.02,-0.34,1.0,moving
1753561170.60,Agent_1,0.07,-0.33,1.0,moving
1753561170.67,Agent_1,0.12,-0.32,1.0,moving
1753561170.73,Agent_1,0.17,-0.30,1.0,moving
1753561170.80,Agent_1,0.22,-0.29,1.0,moving
1753561170.86,Agent_1,0.27,-0.28,1.0,moving
1753561170.91,Agent_1,0.32,-0.27,1.0,moving
1753561170.98,Agent_1,0.37,-0.26,1.0,moving
1753561171.03,Agent_1,0.42,-0.24,1.0,moving
1753561171.08,Agent_1,0.47,-0.23,1.0,moving
1753561171.15,Agent_1,0.52,-0.22,1.0,moving
1753561171.21,Agent_1,0.56,-0.21,1.0,moving
1753561171.26,Agent_1,0.61,-0.20,1.0,moving
1753561171.33,Agent_2,-1.02,-0.59,1.0,moving
1753561171.39,Agent_2,-0.97,-0.58,1.0,moving
1753561171.45,Agent_2,-0.92,-0.57,1.0,moving
1753561171.52,Agent_2,-0.87,-0.56,1.0,moving
1753561171.59,Agent_2,-0.82,-0.55,1.0,moving
1753561171.66,Agent_2,-0.78,-0.53,1.0,moving
1753561171.72,Agent_2,-0.73,-0.52,1.0,moving
1753561171.78,Agent_2,-0.68,-0.51,1.0,moving
1753561171.83,Agent_2,-0.63,-0.50,1.0,moving
1753561171.89,Agent_2,-0.58,-0.49,1.0,moving
1753561171.94,Agent_2,-0.53,-0.47,1.0,moving
1753561172.00,Agent_2,-0.48,-0.46,1.0,moving
1753561172.06,Agent_2,-0.43,-0.45,1.0,moving
1753561172.13,Agent_2,-0.38,-0.44,1.0,moving
1753561172.20,Agent_2,-0.33,-0.43,1.0,moving
1753561172.26,Agent_2,-0.28,-0.41,1.0,moving
1753561172.32,Agent_2,-0.23,-0.40,1.0,moving
1753561172.38,Agent_2,-0.18,-0.39,1.0,moving
1753561172.44,Agent_2,-0.13,-0.38,1.0,moving
1753561172.49,Agent_2,-0.08,-0.37,1.0,moving
1753561172.56,Agent_2,-0.03,-0.35,1.0,moving
1753561172.62,Agent_2,0.02,-0.34,1.0,moving
1753561172.68,Agent_2,0.07,-0.33,1.0,moving
1753561172.74,Agent_2,0.12,-0.32,1.0,moving
1753561172.80,Agent_2,0.17,-0.31,1.0,moving
1753561172.87,Agent_2,0.22,-0.29,1.0,moving
1753561172.93,Agent_2,0.27,-0.28,1.0,moving
1753561172.99,Agent_2,0.32,-0.27,1.0,moving
1753561173.06,Agent_2,0.37,-0.26,1.0,moving
1753561173.12,Agent_2,0.42,-0.24,1.0,moving
1753561173.19,Agent_2,0.46,-0.23,1.0,moving
1753561173.24,Agent_2,0.51,-0.22,1.0,moving
1753561173.31,Agent_2,0.56,-0.21,1.0,moving
1753561173.37,Agent_2,0.61,-0.20,1.0,moving
1753561173.43,Agent_3,-1.09,-0.61,1.0,moving
1753561173.50,Agent_3,-1.04,-0.60,1.0,moving
1753561173.55,Agent_3,-1.00,-0.59,1.0,moving
1753561173.62,Agent_3,-0.95,-0.57,1.0,moving
1753561173.68,Agent_3,-0.90,-0.56,1.0,moving
1753561173.74,Agent_3,-0.85,-0.55,1.0,moving
1753561173.80,Agent_3,-0.80,-0.54,1.0,moving
1753561173.85,Agent_3,-0.75,-0.53,1.0,moving
1753561173.92,Agent_3,-0.70,-0.52,1.0,moving
