Index,X,Y,Type,CrossType
0,120.00,204.00,Agent,Straight
1,181.38,254.38,Turn,Straight
2,222.75,289.16,Turn,Straight
3,297.00,355.00,Turn,Straight
4,390.00,444.00,Agent,Straight
5,238.00,443.00,Agent,Straight
6,247.00,377.00,Agent,Straight
15,305.47,363.10,Crossing,Crossing-Under
7,369.00,348.00,Turn,Straight
8,325.00,315.00,Turn,Straight
9,170.78,194.92,Turn,Straight
16,162.11,238.57,Crossing,Crossing-Over
10,156.58,266.41,Turn,Straight
17,197.05,267.56,Crossing,Crossing-Under
11,248.00,269.00,Turn,Straight
18,238.60,303.21,Crossing,Crossing-Over
12,212.00,400.00,Turn,Straight
19,243.73,400.99,Crossing,Crossing-Under
13,276.00,402.00,Turn,Straight
20,281.23,341.01,Crossing,Crossing-Over
21,278.79,369.44,Crossing,Crossing-Over
22,286.06,284.68,Crossing,Crossing-Over
14,294.00,192.00,Agent,Straight
