Index,X,Y,Type,CrossType
0,179.00,264.00,Agent,Straight
1,217.00,298.00,Turn,Straight
2,242.00,319.00,Turn,Straight
3,275.00,351.00,Turn,Straight
4,325.00,396.00,Agent,Straight
5,333.55,360.03,Turn,Straight
6,357.00,271.00,Agent,Straight
7,234.00,253.00,Agent,Straight
13,207.66,289.64,Crossing,Crossing-Over
8,188.00,317.00,Turn,Straight
14,228.38,307.56,Crossing,Crossing-Under
9,265.00,299.00,Turn,Straight
15,261.39,337.80,Crossing,Crossing-Over
10,257.00,385.00,Turn,Straight
16,283.42,358.58,Crossing,Crossing-Under
11,310.00,332.00,Turn,Straight
17,310.00,264.12,Crossing,Crossing-Over
12,310.00,227.00,Agent,Straight
