Index,X,Y,Type,CrossType
0,93.00,177.00,Agent,Straight
1,168.00,246.00,Turn,Straight
2,200.90,280.50,Turn,Straight
3,239.56,319.18,Turn,Straight
4,279.80,359.76,Turn,Straight
5,321.19,401.25,Turn,Straight
6,409.00,485.00,Agent,Straight
7,411.84,416.41,Turn,Straight
8,412.00,178.00,Agent,Straight
9,171.00,184.00,Agent,Straight
17,150.57,229.97,Crossing,Crossing-Over
10,139.00,256.00,Turn,Straight
18,179.89,258.46,Crossing,Crossing-Under
11,222.00,261.00,Turn,Straight
19,219.38,298.99,Crossing,Crossing-Over
12,216.00,348.00,Turn,Straight
20,262.27,342.08,Crossing,Crossing-Under
13,302.00,337.00,Turn,Straight
21,298.29,378.29,Crossing,Crossing-Over
14,294.00,426.00,Turn,Straight
22,345.83,424.75,Crossing,Crossing-Under
15,377.00,424.00,Turn,Straight
23,377.00,178.87,Crossing,Crossing-Over
16,377.00,140.00,Agent,Straight
