Index,X,Y,Type,CrossType
0,58.00,140.00,Agent,Straight
1,148.04,213.09,Turn,Straight
2,195.03,245.87,Turn,Straight
3,240.47,277.76,Turn,Straight
4,284.86,308.79,Turn,Straight
5,359.00,367.00,Turn,Straight
6,471.00,459.00,Agent,Straight
7,306.00,453.00,Agent,Straight
8,285.00,390.00,Agent,Straight
19,373.67,379.05,Crossing,Crossing-Under
9,447.00,370.00,Turn,Straight
10,383.00,318.00,Turn,Straight
11,142.00,128.00,Turn,Straight
20,130.77,199.07,Crossing,Crossing-Over
12,124.95,235.94,Turn,Straight
21,169.97,228.39,Crossing,Crossing-Under
13,220.00,220.00,Turn,Straight
22,218.41,262.28,Crossing,Crossing-Over
14,217.00,300.00,Turn,Straight
23,261.92,292.75,Crossing,Crossing-Under
15,310.00,285.00,Turn,Straight
24,294.80,316.59,Crossing,Crossing-Over
16,246.00,418.00,Turn,Straight
25,294.85,419.54,Crossing,Crossing-Under
17,341.00,421.00,Turn,Straight
26,344.74,355.80,Crossing,Crossing-Over
27,343.19,382.82,Crossing,Crossing-Over
28,348.47,290.77,Crossing,Crossing-Over
18,359.00,107.00,Agent,Straight
