Time(s),Distance(m)
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0500
0.04,0.0400
0.04,0.0500
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0400
0.04,0.0500
0.14,0.0400
0.14,0.0400
0.14,0.0400
0.14,0.0400
0.14,0.0400
0.14,0.0400
0.14,0.0400
0.14,0.0400
0.14,0.0400
0.24,0.0400
0.24,0.0500
0.24,0.0400
0.24,0.0400
0.24,0.0400
0.24,0.0400
0.24,0.0400
0.24,0.0400
0.24,0.0400
0.24,0.0500
0.34,0.0400
0.34,0.0400
0.34,0.0400
0.34,0.0400
0.34,0.0400
0.34,0.0400
0.34,0.0500
0.34,0.0400
0.34,0.0400
0.34,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0400
0.54,0.0500
0.64,0.0400
0.64,0.0400
0.64,0.0400
0.64,0.0400
0.64,0.0400
0.64,0.0400
0.64,0.0400
0.64,0.0500
0.64,0.0400
0.64,0.0400
0.74,0.0400
0.74,0.0400
0.74,0.0400
0.74,0.0400
0.74,0.0400
0.74,0.0400
0.74,0.0400
0.74,0.0400
0.74,0.0400
0.74,0.0400
0.84,0.0400
0.84,0.0400
0.84,0.0400
0.84,0.0400
0.84,0.0400
0.84,0.0500
0.84,0.0400
0.84,0.0400
0.84,0.0400
0.84,0.0400
1.04,0.0400
1.04,0.0400
1.04,0.0400
1.04,0.0400
1.04,0.0400
1.04,0.0500
1.04,0.0400
1.04,0.0500
1.04,0.0400
1.04,0.0500
1.04,0.0400
1.04,0.0400
1.04,0.0400
1.04,0.0400
1.04,0.0400
1.04,0.0500
1.04,0.0400
1.04,0.0400
1.04,0.0400
1.04,0.0400
1.14,0.0400
1.14,0.0400
1.14,0.0400
1.14,0.0500
1.14,0.0400
1.14,0.0400
1.14,0.0400
1.14,0.0400
1.14,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0500
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0500
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.34,0.0400
1.44,0.0400
1.44,0.0500
1.44,0.0500
1.44,0.0500
1.44,0.0500
1.44,0.0500
1.44,0.0500
1.44,0.0500
1.44,0.0500
1.44,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0400
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.64,0.0500
1.74,0.0500
1.74,0.0500
1.74,0.0500
1.74,0.0500
1.74,0.0500
1.74,0.0500
1.74,0.0500
1.74,0.0500
1.74,0.0500
1.74,0.0500
1.84,0.0500
1.84,0.0500
1.84,0.0500
1.84,0.0500
1.84,0.0500
1.84,0.0500
1.84,0.0500
1.84,0.0500
1.84,0.0400
1.84,0.0400
2.04,0.0400
2.04,0.0500
2.04,0.0500
2.04,0.0500
2.04,0.0500
2.04,0.0500
2.04,0.0500
2.04,0.0500
2.04,0.0400
2.04,0.0400
2.04,0.0400
2.04,0.0400
2.04,0.0500
2.04,0.0500
2.04,0.0500
2.04,0.0500
2.04,0.0500
2.04,0.0500
2.04,0.0500
2.14,0.0500
2.14,0.0600
2.14,0.0600
2.14,0.0600
2.14,0.0600
2.14,0.0600
2.14,0.0600
2.14,0.0600
2.14,0.0600
2.14,0.0600
2.24,0.0600
2.24,0.0600
2.24,0.0600
2.24,0.0600
2.24,0.0600
2.24,0.0600
2.24,0.0700
2.24,0.0700
2.24,0.0700
2.24,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
2.44,0.0700
