Time(s),Distance(m)
0.38,0.0100
0.38,0.0100
0.38,0.0100
0.38,0.0100
0.38,0.0100
0.49,0.0100
0.49,0.0100
0.49,0.0100
0.49,0.0100
0.49,0.0100
0.49,0.0100
0.49,0.0100
0.49,0.0100
0.49,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0200
0.68,0.0200
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.68,0.0100
0.78,0.0100
0.78,0.0100
0.79,0.0100
0.79,0.0100
0.79,0.0100
0.89,0.0100
0.89,0.0100
0.89,0.0100
0.89,0.0100
0.89,0.0100
0.89,0.0100
0.89,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0100
1.08,0.0200
1.08,0.0200
1.08,0.0200
1.08,0.0200
1.08,0.0200
1.08,0.0200
1.18,0.0200
1.19,0.0200
1.19,0.0200
1.19,0.0200
1.19,0.0100
1.19,0.0100
1.19,0.0100
1.19,0.0100
1.19,0.0100
1.19,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.48,0.0100
1.49,0.0100
1.49,0.0100
1.49,0.0100
1.49,0.0100
1.49,0.0100
1.49,0.0100
1.49,0.0100
1.59,0.0100
1.59,0.0100
1.59,0.0100
1.59,0.0100
1.59,0.0100
1.59,0.0100
1.59,0.0100
1.59,0.0100
1.59,0.0100
1.78,0.0100
1.78,0.0100
1.78,0.0100
1.78,0.0100
1.78,0.0100
1.78,0.0100
1.78,0.0100
1.78,0.0200
1.78,0.0200
1.78,0.0200
1.78,0.0200
1.78,0.0200
1.78,0.0200
1.78,0.0200
1.78,0.0200
1.78,0.0200
