Time(s),Distance(m)
0.18,0.0100
0.18,0.0100
0.18,0.0100
0.18,0.0100
0.18,0.0100
0.18,0.0100
0.18,0.0200
0.18,0.0200
0.18,0.0100
0.18,0.0100
0.18,0.0100
0.18,0.0100
0.18,0.0100
0.18,0.0100
0.18,0.0100
0.28,0.0100
0.28,0.0100
0.28,0.0200
0.28,0.0100
0.28,0.0100
0.28,0.0100
0.28,0.0100
0.28,0.0100
0.28,0.0100
0.38,0.0100
0.38,0.0100
0.38,0.0100
0.38,0.0100
0.38,0.0100
0.38,0.0200
0.38,0.0100
0.38,0.0100
0.38,0.0100
0.48,0.0100
0.48,0.0100
0.48,0.0100
0.48,0.0100
0.48,0.0100
0.48,0.0100
0.58,0.0100
0.58,0.0100
0.58,0.0100
0.58,0.0100
0.58,0.0200
0.58,0.0100
0.58,0.0100
0.58,0.0100
0.78,0.0100
0.78,0.0100
0.78,0.0100
0.78,0.0200
0.78,0.0100
0.78,0.0100
0.78,0.0100
0.78,0.0100
0.78,0.0100
0.78,0.0100
0.78,0.0100
0.78,0.0100
0.78,0.0100
0.78,0.0200
0.78,0.0100
0.78,0.0100
0.78,0.0100
0.88,0.0100
0.88,0.0100
0.88,0.0100
0.88,0.0200
0.88,0.0100
0.88,0.0100
0.88,0.0100
0.88,0.0100
0.88,0.0100
0.88,0.0100
0.98,0.0100
0.98,0.0100
0.98,0.0100
0.98,0.0100
0.98,0.0100
0.98,0.0100
0.98,0.0100
0.98,0.0100
0.98,0.0100
0.98,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0200
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0100
1.18,0.0200
1.28,0.0200
1.28,0.0200
1.28,0.0100
1.28,0.0100
1.28,0.0100
1.28,0.0100
1.28,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.38,0.0100
1.58,0.0100
1.58,0.0100
1.58,0.0200
1.58,0.0100
1.58,0.0100
1.58,0.0100
1.58,0.0100
1.58,0.0100
1.58,0.0100
1.58,0.0100
1.58,0.0100
1.58,0.0100
1.58,0.0100
1.58,0.0200
1.58,0.0100
1.58,0.0100
1.68,0.0100
1.68,0.0100
1.68,0.0100
1.68,0.0100
1.68,0.0100
1.68,0.0100
1.68,0.0100
1.68,0.0200
1.68,0.0100
1.68,0.0100
1.78,0.0200
1.78,0.0200
1.78,0.0100
1.78,0.0100
1.78,0.0100
1.78,0.0200
1.78,0.0100
1.78,0.0100
1.78,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0200
1.98,0.0200
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
1.98,0.0100
2.08,0.0100
2.28,0.0100
2.28,0.0100
2.28,0.0100
2.28,0.0100
2.28,0.0100
2.28,0.0200
2.28,0.0100
2.28,0.0100
2.28,0.0100
2.28,0.0100
2.28,0.0100
2.28,0.0100
2.28,0.0100
2.38,0.0100
2.38,0.0100
2.38,0.0100
2.38,0.0100
2.38,0.0100
2.38,0.0100
2.38,0.0100
2.38,0.0100
2.38,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.58,0.0100
2.68,0.0100
2.68,0.0100
2.68,0.0100
2.68,0.0100
2.68,0.0100
2.68,0.0100
2.68,0.0100
2.68,0.0100
2.68,0.0100
2.68,0.0100
2.78,0.0100
2.78,0.0100
2.78,0.0100
2.78,0.0100
2.78,0.0100
2.78,0.0200
2.78,0.0100
2.78,0.0100
2.78,0.0100
2.78,0.0100
2.98,0.0100
2.98,0.0100
2.98,0.0100
2.98,0.0100
2.98,0.0100
2.98,0.0100
2.98,0.0100
2.98,0.0100
2.98,0.0100
2.98,0.0100
2.98,0.0100
2.98,0.0200
2.98,0.0100
2.98,0.0200
2.98,0.0200
2.98,0.0200
2.98,0.0200
2.98,0.0200
2.98,0.0200
2.98,0.0200
3.08,0.0200
3.08,0.0200
3.08,0.0200
3.08,0.0200
3.08,0.0200
3.08,0.0200
3.08,0.0200
3.08,0.0200
3.08,0.0300
3.08,0.0200
3.28,0.0200
3.28,0.0200
3.28,0.0300
3.28,0.0300
3.28,0.0300
3.28,0.0300
3.28,0.0300
3.28,0.0300
3.28,0.0300
3.28,0.0300
3.28,0.0300
3.28,0.0300
3.28,0.0300
3.28,0.0400
3.28,0.0400
3.28,0.0300
3.28,0.0300
3.28,0.0300
3.28,0.0300
3.38,0.0300
3.38,0.0300
3.38,0.0300
3.38,0.0300
3.38,0.0300
3.38,0.0300
3.38,0.0300
3.38,0.0300
3.38,0.0300
3.38,0.0300
3.38,0.0400
3.48,0.0400
3.48,0.0400
3.48,0.0400
3.48,0.0400
3.48,0.0300
3.48,0.0400
3.48,0.0300
3.48,0.0400
3.48,0.0300
3.48,0.0300
3.68,0.0300
3.68,0.0300
3.68,0.0300
3.68,0.0400
3.68,0.0400
3.68,0.0400
3.68,0.0300
3.68,0.0300
3.68,0.0400
3.68,0.0300
3.68,0.0300
3.68,0.0300
3.68,0.0300
3.68,0.0400
3.68,0.0400
3.68,0.0300
3.68,0.0400
3.68,0.0400
3.78,0.0400
3.78,0.0400
3.78,0.0400
3.78,0.0400
3.78,0.0400
3.78,0.0400
3.78,0.0400
3.78,0.0400
3.78,0.0400
3.78,0.0400
3.78,0.0400
3.88,0.0400
3.88,0.0400
3.88,0.0400
3.88,0.0400
3.88,0.0400
3.88,0.0400
3.88,0.0400
3.88,0.0400
3.88,0.0400
3.88,0.0400
4.08,0.0400
4.08,0.0400
4.08,0.0400
4.08,0.0400
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.08,0.0500
4.18,0.0600
4.18,0.0600
4.18,0.0600
4.18,0.0600
4.18,0.0600
4.18,0.0600
4.18,0.0600
4.18,0.0600
4.18,0.0600
4.18,0.0600
4.38,0.0600
4.38,0.0600
4.38,0.0700
4.38,0.0700
4.38,0.0700
4.38,0.0800
4.38,0.0800
4.38,0.0800
4.38,0.0800
4.38,0.0800
4.38,0.0800
4.38,0.0800
4.38,0.0800
4.38,0.0800
4.38,0.0800
4.38,0.0900
4.38,0.0900
4.38,0.0900
4.38,0.0900
4.38,0.0900
4.48,0.0900
4.48,0.1000
4.48,0.1000
4.48,0.1000
4.48,0.1000
4.48,0.1000
4.48,0.1000
4.48,0.1100
4.48,0.1100
4.58,0.1100
4.58,0.1100
4.58,0.1100
4.58,0.1200
4.58,0.1200
4.58,0.1200
4.58,0.1200
4.58,0.1200
4.58,0.1300
4.58,0.1300
4.68,0.1300
4.68,0.1300
4.68,0.1400
4.68,0.1400
4.68,0.1400
4.68,0.1400
4.68,0.1400
4.68,0.1400
4.68,0.1500
4.68,0.1500
4.78,0.1500
4.78,0.1500
4.78,0.1500
4.78,0.1600
4.78,0.1600
4.78,0.1700
4.78,0.1700
4.78,0.1700
4.78,0.1700
4.78,0.1800
4.98,0.1800
4.98,0.1900
4.98,0.1900
4.98,0.1900
4.98,0.1900
4.98,0.1900
4.98,0.1900
4.98,0.2000
4.98,0.2000
4.98,0.2000
4.98,0.2000
4.98,0.2000
4.98,0.2100
4.98,0.2100
4.98,0.2200
4.98,0.2200
4.98,0.2300
4.98,0.2300
4.98,0.2400
4.98,0.2500
5.08,0.2500
5.08,0.2600
5.08,0.2700
5.08,0.2700
5.08,0.2700
5.08,0.2700
5.08,0.2800
5.08,0.2800
5.08,0.2800
5.08,0.2700
5.18,0.2800
5.18,0.2700
5.18,0.2900
5.18,0.2900
5.18,0.2800
5.18,0.2800
5.18,0.2800
5.18,0.2500
5.18,0.2500
5.18,0.2500
5.38,0.2500
5.38,0.2500
5.38,0.2500
5.38,0.2500
5.38,0.2600
5.38,0.2500
5.38,0.2500
5.38,0.2600
5.38,0.2400
5.38,0.2500
5.38,0.2500
5.38,0.2500
5.38,0.2400
5.38,0.2500
5.38,0.2400
5.38,0.2600
5.38,0.2400
5.38,0.2500
5.38,0.2700
5.38,0.2500
5.48,0.2500
5.48,0.2500
5.48,0.2600
5.48,0.2400
5.48,0.2600
5.48,0.2600
5.48,0.2500
5.48,0.2500
5.48,0.2500
5.68,0.2600
5.68,0.2600
5.68,0.2500
5.68,0.2400
5.68,0.2600
5.68,0.2600
5.68,0.2500
5.68,0.2500
5.68,0.2700
5.68,0.2500
5.68,0.2500
5.68,0.2400
5.68,0.2500
5.68,0.2600
5.68,0.2400
5.68,0.2500
5.68,0.2500
5.68,0.2500
5.68,0.2500
5.68,0.2400
5.78,0.2600
5.78,0.2400
5.78,0.2500
5.78,0.2400
5.78,0.2500
5.78,0.2500
5.78,0.2600
5.78,0.2600
5.78,0.2400
5.78,0.2500
5.88,0.2500
5.88,0.2400
5.88,0.2500
5.88,0.2500
5.88,0.2500
5.88,0.2500
5.88,0.2300
5.88,0.2500
5.88,0.2500
5.88,0.2500
5.98,0.2500
5.98,0.2500
5.98,0.2500
5.98,0.2600
5.98,0.2400
5.98,0.2600
5.98,0.2400
5.98,0.2300
5.98,0.2500
5.98,0.2300
6.18,0.2400
6.18,0.2300
6.18,0.2400
6.18,0.2200
6.18,0.2400
6.18,0.2300
6.18,0.2300
6.18,0.2200
6.18,0.2500
6.18,0.2400
6.18,0.2400
6.18,0.2400
6.18,0.2400
6.18,0.2100
6.18,0.2200
6.18,0.2100
6.18,0.2000
6.18,0.2500
6.18,0.2200
6.18,0.2200
6.28,0.2000
6.28,0.2000
6.28,0.2200
6.28,0.2000
6.28,0.2000
6.28,0.2100
6.28,0.2100
6.28,0.2300
6.28,0.2400
6.28,0.2400
6.48,0.2200
6.48,0.2400
6.48,0.2500
6.48,0.2400
6.48,0.2500
6.48,0.2500
6.48,0.2500
6.48,0.2500
6.48,0.2200
6.48,0.2200
6.48,0.2300
6.48,0.2100
6.48,0.2100
6.48,0.2100
6.48,0.2100
6.48,0.2000
6.48,0.2100
6.48,0.2500
6.48,0.3200
6.58,0.3100
6.58,0.4600
6.58,0.5900
6.58,0.5800
6.58,0.5500
6.58,0.4900
6.58,0.4500
6.58,0.3900
6.58,0.1800
6.58,0.2500
6.68,0.2300
6.68,0.4000
6.68,0.6600
6.68,0.6800
6.68,0.6500
6.68,0.4600
6.68,0.4300
6.68,0.4300
6.68,0.4400
6.68,0.4700
6.78,0.4700
6.78,0.4800
6.78,0.5000
6.78,0.5200
6.78,0.5500
6.78,0.5100
6.78,0.4600
6.78,0.4900
6.78,0.5800
6.78,0.6600
6.98,0.7700
6.98,0.8600
6.98,0.9100
6.98,0.9500
6.98,0.9400
6.98,0.9300
6.98,0.9000
6.98,0.8800
6.98,0.8600
6.98,0.8400
6.98,0.8200
6.98,0.8000
6.98,0.7900
6.98,0.8200
6.98,0.8300
6.98,0.8400
6.98,0.8400
6.98,0.8600
6.98,0.8700
6.98,0.8700
7.08,0.8800
7.08,0.8800
7.08,0.8800
7.08,0.8900
7.08,0.8900
7.08,0.8900
7.08,0.9000
7.08,0.9000
7.08,0.9000
7.08,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.28,0.9000
7.38,0.9000
7.38,0.9000
7.38,0.9000
7.38,0.9000
7.38,0.9000
7.38,0.9000
7.38,0.9000
7.38,0.9000
7.38,0.9000
7.38,0.9000
7.38,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9000
7.58,0.9100
7.58,0.9000
7.58,0.9000
7.68,0.9000
7.68,0.9000
7.68,0.9000
7.68,0.9000
7.68,0.9000
7.68,0.9000
7.68,0.9000
7.68,0.9000
7.68,0.9000
7.68,0.9000
7.68,0.9000
7.78,0.9000
7.78,0.9000
7.78,0.9000
7.78,0.9000
7.78,0.9000
7.78,0.9000
7.78,0.9000
7.78,0.9000
7.78,0.9000
7.78,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
7.98,0.9000
8.08,0.9000
8.08,0.9000
8.08,0.9000
8.08,0.9000
8.08,0.9000
8.08,0.9000
8.08,0.9000
8.08,0.9000
8.08,0.9000
8.08,0.9000
8.18,0.9000
8.18,0.9000
8.18,0.9000
8.18,0.9000
8.18,0.9000
8.18,0.9000
8.18,0.9000
8.18,0.9000
8.18,0.9000
